ku,er,erh,erm,ere,ereh,ir,irh,irp,irt,irk,irm,irn,irng,irinn
"多元文化欲受人肯定， 語言佇公領域的呈現是真重要的開始。
",0,0,0,0,0,3,,,,,,0,,
"這馬是原住民族語， 向望未來客家語、臺語攏有機會。
",1,0,0,0,0,3,,,,,,0,,
"屏東縣長潘孟安七月十八嘛表示， 第一份Rukai族語公文結合屏東縣推捒的恢復傳統名姓，特別有意義。
",1,1,0,1,0,1,,,,,,0,,
"總統蔡英文嘛佇面冊分享一份對花蓮縣光復鄉公所發出來，用Pangcah寫的， 欲通知族人來領土地權利證明書的公文。
",0,0,0,1,0,4,,,,,,0,,
"你坐佗一隻飛行機？
",2,0,0,0,0,0,,,,,,0,,
"這馬欲開始登機，A八空二班機的旅客，請到第一區排隊登機。
",0,0,0,1,0,1,,,,,,0,,
"坐頭等位的旅客，請到第三區登機。
",1,0,0,1,0,1,,,,,,0,,
"登機了後，行到你的位，共行李囥起去坐位頂面的櫥仔。
",1,0,0,0,0,0,,,,,,0,,
"隨身行李請囥佇坐位下底的椅仔跤。
",1,0,0,1,0,2,,,,,,0,,
"安全帶縖予好，等待起飛。
",1,0,0,0,0,0,,,,,,0,,
"這馬欲起飛a，安全帶縖予好，莫離開家己的位。
",1,0,0,0,0,0,,,,,,0,,
"紲落來欲來紹介飛行機的安全設備，逃生門佇飛行機的兩爿，sàng-sòo罨佇頭殼頂，救生衣佇椅仔跤。
",2,0,0,0,0,6,,,,,,0,,
"若是拄著特殊的狀況，機長會共sàng-sòo拍開，sàng-sòo罨會對面頂落落來，請共sàng-sòo罨掛予好。
",0,0,0,0,0,0,,,,,,0,,
"若是有𤆬囡仔，請先共家己的sàng-sòo掩掛予好，先確定家己吸有sàng-sòo，才替囡仔掛。
",0,0,0,1,0,0,,,,,,0,,
"若飛行機不得已落飛佇海頂，請逐家愛穿救生衣。救生衣佇椅仔跤，先穿入去，才共鈕起來，上尾用喙歕風歕予飽，歕甲膨起來就會使。
",3,0,0,0,0,4,,,,,,0,,
"飛行機飛到十公里懸的時，機長會關掉安全帶指示燈。若有著便所的旅客，到時就會當共安全帶剝開，其他的旅客若無特別需要，就繼續共安全帶縖予好，通保護家己的安全。
",2,0,0,0,0,2,,,,,,0,,
"若拄著亂流，請逐家緊坐予好，安全帶緊共縖予絚。
",1,0,0,0,0,0,,,,,,0,,
"欲飛東京的B三空四班機，會延半點鐘才開始登機。
",1,0,0,0,0,1,,,,,,0,,
"欲飛往香港的班機，登機欲煞矣，請旅客張阿火佮李阿水緊來登機。
",2,0,0,0,0,1,,,,,,0,,
"敢有旅客欲坐XZ八六五班機，登機門咧欲關囉。
",1,0,0,0,0,1,,,,,,0,,
"各位師兄師姊，咱這馬踮遮歇睏一下，我去辦理登機的手續，半點鐘後，來遮相等。
",0,0,0,0,0,2,,,,,,0,,
"各位先生小姐，咱這馬來到出境大廳，我這馬去check-in，需要三十分鐘。請逐家行李集中，請專人來顧。
",0,0,0,0,0,0,,,,,,0,,
"若有需要，利用這半點鐘去便所、換錢佮買保險，趁這半點鐘緊去辦辦咧。
",0,0,0,0,0,0,,,,,,0,,
"半點鐘若到，逐家才來遮相等。
",0,0,0,0,0,0,,,,,,0,,
"阮手續若辦好，會予逐家護照、登機證。逐家攏提著證件了後，才來寄行李。行李托運好，咱才來過海關佮安全檢查，上尾入去候機室。
",2,0,0,0,0,0,,,,,,0,,
"猶閣有時間，逐家會當去踅免稅商店，才去候機室等待登機。
",0,1,0,0,0,0,,,,,,0,,
"登機的時，護照佮登機證攢予好勢，咱這回桃園飛東京，愛三點半鐘，請逐家注意安全，互相照顧。
",2,0,0,0,0,0,,,,,,0,,
"過海關進前，有水抑是別款超過一百CC的液體，攏愛倒掉。有lài-tah、刀仔抑是別的違禁品的，請主動擲掉，袂使紮佇身軀頂。
",2,0,0,1,0,2,,,,,,0,,
"海關通過了後，才去候機室相等。時間若有較冗，會當去踅免稅街。
",1,1,0,1,0,0,,,,,,0,,
"閣十五分鐘就到高雄ā，咱準備欲落飛a。請逐家坐轉去家己的位，坐予好，共安全帶閣縖轉去，袂使閣去便所。
",3,0,0,0,0,0,,,,,,0,,
"感謝旅客坐阮長榮航空公司的班機，期待再相會。
",1,0,0,0,0,2,,,,,,0,,
"這馬高雄氣溫二十七度，有落毛毛仔雨，祝逐家旅途歡喜。
",0,0,0,0,0,1,,,,,,0,,
"逐家攏到矣，咱來去停車場上車。
",0,0,0,0,0,2,,,,,,0,,
"我是恁這八工的導遊，我號做賴麗格，叫我阿格就好。咱這馬欲離開機場，先去員林hoo-thé-luh歇睏。
",0,0,0,0,0,0,,,,,,0,,
"登機時間到矣，逐家緊去候機室準備。登機進前，愛先攢好護照佮登機證，照順序排隊。檢查了才來登機。
",0,0,0,0,0,1,,,,,,0,,
"飛行機若坐到位，請逐家照前後落機，到空橋的時，請逐家佇空橋出口遐歇睏、相等。
",2,0,0,0,0,2,,,,,,0,,
"逐家攏到的時，咱才同齊出海關，領行李。
",0,0,0,1,0,0,,,,,,0,,
"領行李的時，逐家互相一下，看著咱這團的行李，請鬥共捾落來。
",0,0,0,0,0,0,,,,,,0,,
"出境了後，在地的導遊會來接機。到時咱人佮行李綴伊的跤步，聽伊的安排去坐車，開始咱這擺的𨑨迌。
",2,0,0,1,0,1,,,,,,0,,
"歡迎台灣的朋友，來阮日本𨑨迌。我是導遊阿傑，這九工的行程，我攏會佮逐家做伙。
",0,0,0,0,0,0,,,,,,0,,
"各位朋友若有啥物所在需要我鬥相共，請隨共我講，我盡量來處理。
",0,0,0,0,0,0,,,,,,0,,
"這幾工替咱駛車的ùn-tsiàng是劉生，駛車的經驗誠濟、誠資深，技術又閣好，逐家會當放心。逐家噗仔聲催lueh，共司機感謝一下。
",0,0,0,1,0,5,,,,,,0,,
"咱這馬差不多是食飯的時間，這个餐廳是三義有名的餐廳，伊的炕肉誠特別。
",0,0,0,0,0,0,,,,,,0,,
"愛閣半點鐘才會到餐廳，逐家這馬會當欣賞外口的景緻。
",0,0,0,0,0,0,,,,,,0,,
"咱餐廳佇頭前正手爿，因為遮車袂使停傷久，逐家緊落車。落車了後，綴我入去二樓食飯。
",1,0,0,0,0,5,,,,,,0,,
"食飽了後，逐家轉來酒店歇睏。
",0,0,0,0,0,0,,,,,,0,,
"逐家食有飽無？食會合無？逐家若有啥意見，阮會當吩咐餐廳準備。
",0,0,0,0,0,0,,,,,,0,,
"咱暗時蹛的hoo-thé-luh是五星的，到hoo-thé-luh了後，in會安排房間。安排好勢了後，才來拖行李落車。
",0,0,0,0,0,1,,,,,,0,,
"房間內的礦泉水、茶米、咖啡攏免錢。因為環保的關係，逐家愛較儉咧啉。
",0,0,0,0,0,0,,,,,,0,,
"房間之間會當互相用電話敲房號來聯絡。若有問題會當敲九號予總機。
",0,0,0,1,0,0,,,,,,0,,
"明仔載morning-call是七點，早頓佇二樓中餐廳，早頓的時間是六點到十點。
",0,0,0,0,0,2,,,,,,0,,
"早頓食飽，才共行李拖落來一樓的大廳。八點半佇一樓的大廳相等，房卡還予櫃台。咱按算八點四十出發，進行第二工的行程。
",0,0,0,1,0,3,,,,,,0,,
"咱逐家出來𨑨迌，加減買寡等路，轉去分親情五十，佮朋友做伙分張。等咧𤆬逐家去踅一寡台灣有名的王梨酥、綠豆膨。
",0,1,0,0,0,0,,,,,,0,,
"逐家買進前愛先試食，好食才買，歹食莫買，買轉去無人食嘛拍損。若買較濟，店員會替咱包起來裝箱仔，按呢較好捾，免櫼佇行李箱。
",0,0,0,1,0,2,,,,,,0,,
"買食物就是愛試食才會準，若好食的時，才共買。
",0,0,0,0,0,0,,,,,,0,,
"這馬閣有半點鐘，逐家自由參觀。
",0,0,0,0,0,0,,,,,,0,,
"這馬五點空七，三十三分鐘了後五點四十，咱佇一樓的出口相等。
",0,0,0,0,0,3,,,,,,0,,
"人若攏到矣了後，咱才叫車過來共咱載。
",1,0,0,0,0,1,,,,,,0,,
"這个所在我會先𤆬逐家參觀，尾仔會留二十分鐘予恁家己踅。
",1,1,0,0,0,0,,,,,,0,,
"時間過了足緊呢，咱七工的行程，一目𥍉仔就欲結束矣，逐家出來𨑨迌有歡喜無？
",1,0,0,0,0,0,,,,,,0,,
"阮若做了無好，請恁共阮講，通好改善。另外，阮若有啥物優點，歡迎共親情朋友講，叫in來台灣𨑨迌。
",0,0,0,1,0,0,,,,,,0,,
"等咧到機場的時陣，車頂的物件、行李，愛提予齊著。若有需要車仔的朋友，落車的所在就有車仔通捒。
",0,0,0,1,0,4,,,,,,0,,
"車頂的行李愛提有齊著。毋通袂記得提。
",0,0,0,1,0,1,,,,,,0,,
"逐家才綴我la̋i三樓出境大廳，辦理登機手續、團體行李托運。
",1,0,0,1,0,0,,,,,,0,,
"最後祝逐家身體健康，萬事如意，有機會才閣來遮𨑨迌。
",0,0,0,1,0,1,,,,,,0,,
"八百空六篇，頁岩石油發展緊，OPEC地位不保。
",0,0,0,1,0,0,,,,,,0,,
"世界石油價數自舊年大落，到今無啥起色。
",0,0,0,1,0,0,,,,,,0,,
"頂期《經濟學人》週刊一篇文章分析講，抽頁岩石油的技術伐大步等等因素看來，油價真可能長期維持目前的水準，石油輸出國家組織(OPEC)扞盤的優勢不再。
",0,0,0,0,0,0,,,,,,0,,
"較早，若是油價傷䆀，OPEC會決定減產，來捒懸價數。
",0,0,0,0,0,0,,,,,,0,,
"毋過舊年十一月，油價當咧落的時陣，in並無按呢做，放予伊繼續落。
",1,1,0,0,0,0,,,,,,0,,
"除了國際政治的考慮，in嘛想欲趁家己輕本，共重本的美國頁岩油逼出市場。
",0,0,0,0,0,1,,,,,,0,,
"衝擊確實有，一寡美國頁岩油公司袂堪得價數直直落，煞來破產。
",0,0,0,0,0,1,,,,,,0,,
"毋過講來講去，頁岩油產業比原本想的閣較韌命。
",1,0,0,0,0,0,,,,,,0,,
"上主要的原因，照這篇文章講，是技術進步，所擺頁岩油產業嘛綴咧發達。
",1,0,0,0,0,0,,,,,,0,,
"比論講，挖一口井的時間減少一半。
",0,0,0,0,0,0,,,,,,0,,
"今年逐箍美金的產量，預測會增加六十五pha。
",0,0,0,0,0,1,,,,,,0,,
"佇今年三月的油價低點，西德州中級原油(WTI)捌落到一桶四十四箍美金，目前起轉來六十箍左右，大部分的頁岩油公司猶閣趁有錢。
",0,1,0,0,0,5,,,,,,0,,
"文章引用一間顧問公司的講法，未來的價數甚至可能形成一个「頁岩帶」，大概是一桶四十五箍到六十五箍美金之間。若是價數比這个範圍較低，頁岩石油業者會減產；若較懸，in會增產。
",1,0,0,0,0,2,,,,,,0,,
"若按呢，價數就會時常維持佇這个範圍。
",0,0,0,0,0,2,,,,,,0,,
"也就是講，用增產減產來影響世界油價，這个關鍵角色一向以來是OPEC咧搬，未來可能就是美國的頁岩油公司，
",1,0,0,1,0,1,,,,,,0,,
"In毋管是提升產量，抑是壓低成本，攏猶閣真有空間。
",0,0,0,0,0,0,,,,,,0,,
"文章落尾講，二位數的油價，可能會成做「新常態」。
",1,0,0,0,0,0,,,,,,0,,
"除非是爆發重大衝突，造成世界上大的一寡油田停止供應，抑是需求雄雄衝懸。
",0,0,0,1,0,1,,,,,,0,,
"另外一方面，再生能源佮天然氣也咧落價。
",0,0,0,0,0,0,,,,,,0,,
"看這个範勢，一个予OPEC主導的時代，應該是袂閣轉來矣。
",1,0,0,0,0,0,,,,,,0,,
"八百空七篇，美國面對Islam國的兩難。
",0,0,0,0,0,0,,,,,,0,,
"過激派的組織Islam國(IS)繼續擴張，五月中占領Iraq重要的城市，離首都賰無一百公里。
",1,1,0,0,0,0,,,,,,0,,
"美國愛按怎做？敢著派地面部隊？真濟人主張莫，認為美國派軍顛倒會飼大IS，會害著美國本身的安全。應該予中東在地的國家去戰。
",0,0,0,2,0,1,,,,,,0,,
"而且，遮的中東國家，包括一寡美國的盟友，本身就有嚴重的問題，比如治理傷䆀、貪腐、民族佮教派的衝突，予IS趁這个好時機peh起來。
",0,0,0,1,0,0,,,,,,0,,
"In家己著負起對抗IS主要的責任，毋是放予爛，才欲靠美國來救。
",0,0,0,0,0,0,,,,,,0,,
"作者認為，美國若是派大軍去佮IS直接相戰，顛倒會實現IS的宣傳，
",0,0,0,0,0,0,,,,,,0,,
"講這是一場Muslim對抗美國十字軍的聖戰，刺激四界的Muslim來加入IS，
",0,0,0,1,0,2,,,,,,0,,
"並且嘛致使美國的軍人、每一間大使館，甚至本土的國民攏成做攻擊的目標。
",0,0,0,0,0,4,,,,,,0,,
"In毋是講美國攏莫插代誌，毋過美國的支援應該愛附較嚴格的條件，要求遮的中東國家進行改革，莫予極端主義勾去。
",2,0,0,1,0,0,,,,,,0,,
"事實上，Obama政府一向行這款「對後壁領導」、避免家己去戰的政策，嘛受著真濟批評。
",0,0,0,0,0,1,,,,,,0,,
"進前幾工，《外交政策》的社長David拄好嘛寫文章指出這種做法有真濟風險，包括無法度影響事態的結果，來保證美國的利益，甚至上尾嘛是著替別人拭尻川。
",2,0,0,1,0,1,,,,,,0,,
"地方的核子捙拚、恐怖攻擊湠向全球，這攏是愛提早防範的危機。
",0,0,0,1,0,1,,,,,,0,,
"八百空八篇，免錢的上貴，面冊拜託收我一箍。免錢的上貴，面冊拜託收我一箍。
",0,0,0,0,0,0,,,,,,0,,
"人講免錢的上貴，這佇現此時的網路世界來講，真有道理。像Facebook、Google遮的各種的網路服務，予咱用免錢的，其實in是欲收集咱的資料、掌握咱的行為，這就是咱愛付出的代價。
",1,0,0,1,0,2,,,,,,0,,
"敢講逐家攏無要無緊？抑是無伊法度？
",0,0,0,0,0,0,,,,,,0,,
"最近美國拄好有一寡新的研究。研究中心調查發現，九十三pha的美國人認為，家己會使決定「siáng」會當提著in的資料，對in來講是重要的代誌。
",1,0,0,0,0,0,,,,,,1,,
"九成認為，會使予民眾決定「啥物」資訊通予人收集，是重要的。
",0,0,0,0,0,0,,,,,,0,,
"毋過佇仝一个時陣，煞無啥人相信in會好好保守祕密，嘛無啥放心in會絕對安全。
",1,1,0,0,0,2,,,,,,0,,
"干焦有七pha的人對網頁頂刊廣告的廠商有信心、十一pha對家己使用的社交媒體有信心。
",0,0,0,1,0,2,,,,,,0,,
"另外，大學有調查，大眾是毋是願意為著小可錢就來犧牲隱私。
",0,0,0,0,0,1,,,,,,0,,
"比論講，若是廠商拍折予你，仝一个時陣，佇你毋知的情形下收集你的資訊，這敢有理？有九十一pha的受訪者認為這無理。
",0,0,0,0,0,2,,,,,,0,,
"研究的主持學者Joseph講，民眾毋是誠實甘願為著小可好處，就來交出個人的資料。
",0,0,0,0,0,0,,,,,,0,,
"「實際上是一種放棄的心態。」
",0,0,0,0,0,0,,,,,,0,,
"「美國人感覺，廠商按怎處理抑是收集in的資訊，in無法度控制，只有由在in去。」
",0,0,0,0,0,0,,,,,,0,,
"講著收集使用者的資訊，Facebook（面冊）是世界上蓋厲害的怪物。
",0,0,0,1,0,2,,,,,,0,,
"學者最近投稿《New York時報》講，伊甘願納錢使用面冊，共家己資料的主控權挈倒轉來。
",0,0,0,0,0,2,,,,,,1,,
"社交媒體等免費的網路服務的大問題，就是靠廣告趁錢的商業模式。
",0,0,0,2,0,0,,,,,,0,,
"為著賣廣告，面冊會控制啥物出現佇咱的主頁、啥物袂。
",0,0,0,0,0,2,,,,,,0,,
"這已經「攪擾咱佇線頂的互動。」
",0,0,0,0,0,2,,,,,,0,,
"尤其單純貼廣告已經趁無錢，所以社交媒體愈來愈需要針對個人，共可能對in有效的廣告分別㧣予in，這就表示愛分析使用者的資料、追蹤in的行為。
",0,0,1,1,0,2,,,,,,0,,
"雖然面冊趁真濟錢，但是引用網路專家Zuckerman所講的，面冊一個月平均對每一个使用者，才趁著兩角美金，這表示靠廣告趁錢的路嘛已經行袂通a。
",0,1,0,0,0,2,,,,,,0,,
"面冊應該愛開放予使用者納錢，伊相信有幾若億的用戶佮伊仝款，願意逐個月付一箍美金，
",0,1,0,0,0,2,,,,,,0,,
"「做一个消費者，毋是一項產品。」
",0,0,0,0,0,0,,,,,,0,,
"毋過話講倒轉來，遮的免費的網路服務，嘛毋但是趁廣告錢爾爾。
",1,0,0,0,0,0,,,,,,0,,
"這幾年來，巨量資料佮人工智慧雄雄發展甲真驚人，上主要的就是靠網路使用者上傳的濟濟內容。
",0,0,0,0,0,2,,,,,,0,,
"《經濟學人》五月中的報導有舉一个例，Microsoft有研發出一種個人軟體，已經會曉分別兩種足成的狗仔，共你講佗一隻是佗一種。
",0,1,0,1,0,0,,,,,,0,,
"毋過話講倒轉來，遮的免費的網路服務，嘛毋但是趁廣告錢爾爾。
",1,0,0,0,0,0,,,,,,0,,
"未來，個人資料和紀錄的收集佮利用愈來愈厲害、愈複雜，個人對本身隱私的主控權，恐驚是愈歹掌握。
",2,0,0,0,0,1,,,,,,0,,
"八百空九篇，同性婚合法化，閣來看澳洲。
",0,0,0,0,0,0,,,,,,0,,
"Ireland頂個月公民投票通過同性婚合法化，有鼓勵著全世界的同性戀人權運動，
",1,1,0,1,0,0,,,,,,0,,
"紲落幾個月，澳洲凡勢嘛會變天。
",0,1,0,0,0,0,,,,,,0,,
"國會預定佇年底進前投票決定。
",0,0,0,1,0,3,,,,,,0,,
"這馬，大部分的民意支持同性婚，只是有真濟國會議員猶閣咧觀望。
",0,0,0,0,0,0,,,,,,0,,
"領導保守聯盟的澳洲總理Tony Abbott本人反對同性婚姻，毋過贊成開放伊的自由黨的議員照家己的意思投票。
",1,0,0,0,0,2,,,,,,0,,
"只不過這佮聯盟內底其他黨派的意見有相牽連。
",1,0,0,1,0,0,,,,,,0,,
"若是真正開放投「良心票」，通過修法來承認同性婚的機率會較大。
",1,0,0,0,0,0,,,,,,0,,
"在野的工黨內底，有九成九的議員攏支持同性婚。
",0,0,0,1,0,0,,,,,,0,,
"進前綠黨佮Abbott自由黨的同事攏已經提出支持同性婚合法的法案。
",0,0,0,0,0,1,,,,,,0,,
"六月初工黨閣提出一案，hông批評是欲來割稻仔尾，顛倒會拍歹共識，變成政黨相爭。
",1,1,0,1,0,0,,,,,,0,,
"澳洲廣播公司（ABC）的一篇分析文章講，若是會當閣撨出一个跨黨派的第四案，莫一黨一案，改革會較有贏面。
",0,0,0,2,0,2,,,,,,0,,
"頂年七月，一間研究公司做的民調講，七十二pha的澳洲人支持同性婚合法化。這个比例比十年前增加強欲一倍。
",1,1,0,0,0,1,,,,,,0,,
"國會議員咧？
",0,0,0,0,0,0,,,,,,0,,
"英國《衛報》的澳洲版最近隨个仔隨个訪問下議院全部的一百五十位議員，若是開放投良心票，in的立場會啥款。
",0,0,0,0,0,0,,,,,,1,,
"頂禮拜三公佈結果，有六十三个贊成同性婚合法、四十个反對，毋過猶未決定抑是表態的人嘛真濟，有四十七个，到時的輸贏猶閣真歹講。
",3,0,0,0,0,2,,,,,,0,,
"既然支持改變的民意超過七成，是按怎政治人物猶閣綴袂著？
",2,0,0,1,0,0,,,,,,0,,
"頭前講著的民調公司負責人共英國廣播公司（BBC）講，一寡議員對保守勢力傷過驚惶。
",1,0,0,0,0,2,,,,,,0,,
"伊講：「保守的基督教團體吵甲真大聲，毋過講較白的in是無幾隻貓仔，無啥要緊。」
",1,0,0,1,0,0,,,,,,0,,
"工黨的副領袖嘛講，並毋是所有的天主教徒攏反對同性婚。
",0,0,0,0,0,0,,,,,,0,,
"佇咧吵甲當熱的時陣，有一對已經結婚十冬的翁仔某宣佈，若是國會通過同性婚合法，in就欲離緣來表示抗議。
",1,0,0,0,0,2,,,,,,0,,
"蹛佇首都Canberra的Jensen翁仔某講，若準國家欲改變婚姻的定義，欲承認同性的關係，就觸犯著原本上帝神聖的旨意，in才無愛插潲彼種新的定義咧。
",0,0,0,1,0,2,,,,,,0,,
"澳洲國會捌佇二空一二年表決同性婚合法化的議題，贊成派輸甲褪褲。
",0,0,0,1,0,2,,,,,,0,,
"ABC的分析認為，以現在國內外贊成派攏遐爾仔有勢面來看，這擺投票的結果凡勢會無仝，上緊可能佇八月就會過關。
",2,1,0,0,0,2,,,,,,0,,
"八百十篇，教宗成做左派領袖？教宗成做左派領袖？
",0,0,0,0,0,0,,,,,,0,,
"教宗Francis六月十八發佈「通諭」，呼籲世界共同對抗氣候變化。
",0,1,0,1,0,0,,,,,,0,,
"毋但按呢，伊閣真大聲咧批評追求「短期佮私人利益」的消費主義，
",1,0,0,0,0,1,,,,,,0,,
"伊予評論者寫講「羅馬天主教廷這馬是一粒一的資本主義批判者」。
",0,0,0,0,0,0,,,,,,0,,
"這句是英國《衛報》的專欄作家的理解，伊嘛是一个英國國教的教區牧師。
",0,0,0,1,0,1,,,,,,0,,
"伊閣寫講「當左派佇全世界失去權威，教廷又閣講話有聲」。
",0,0,0,1,0,2,,,,,,0,,
"教宗英文版的通諭有三萬七千外字。照Fraser的摘要，咱人受著濟濟的慾望束縛，
",0,0,0,0,0,1,,,,,,0,,
"資本主義欲來滿足遮的慾望，無去分啥物是人真正「需要」的、啥物只是人「想欲愛」的，
",0,0,0,0,0,0,,,,,,0,,
"這兩項的差別就可比救命藥仔佮電動𨑨迌物。
",0,0,0,0,0,0,,,,,,0,,
"「市場」無管這，對伊來講攏是「選擇」；市場嘛無欲管各種選擇對公共利益抑是地球生態有啥物款影響，干焦欲做伊有閣較濟的選項。
",0,0,0,1,0,0,,,,,,0,,
"過度消費的後果，就是予地球變做一个糞埽桶。
",2,0,0,1,0,0,,,,,,0,,
"面對這个問題，經濟學家嘛變無步。
",0,0,0,1,0,0,,,,,,0,,
"地球的資源是有限的，毋過主流的經濟模式攏假設成長會當無限。
",1,0,0,1,0,0,,,,,,0,,
"教宗的呼籲，就是咱人袂當直直痟貪落去，愛知影撙節。
",0,0,0,0,1,0,,,,,,0,,
"通諭內底無直接用著「資本主義」這个詞，毋過真濟擺唱名「市場」，
",1,0,0,1,0,0,,,,,,0,,
"比如：「市場竟然信篤只要增加公司佮個人的利益，就會當解決問題，咱愛拒絕這種想法」、
",0,1,0,2,0,2,,,,,,0,,
"「為著銷路，市場大力推捒極端的消費主義，予人一時仔就隨牢佇無必要的開銷」。
",1,0,0,0,0,2,,,,,,0,,
"《衛報》的社論講，這是百年來上蓋予人想袂到、嘛可能是上蓋有氣魄的教宗文件，
",0,0,0,0,0,0,,,,,,0,,
"毋但是對天主教徒抑是基督教徒講話，嘛是講予地球頂的每一个人聽。
",0,0,0,1,0,0,,,,,,0,,
"猶毋是逐个人攏會聽，親像美國共和黨佮石油界的幾若个頭人就倒彈ā。
",1,0,0,1,0,0,,,,,,0,,
"總是，以教宗的地位，對拖棚的聯合國氣候談判會當發揮偌大的影響力，逐家猶是真好玄。
",0,0,0,1,0,0,,,,,,0,,
"各位旅客，有需要補票的無？
",0,0,0,0,0,1,,,,,,0,,
"列車咧欲進站ā，請離開月台邊仔，較袂危險。
",0,1,0,0,0,1,,,,,,0,,
"正爿開門。落車進前，請注意車廂佮月台中央的縫，毋通落lue̋縫lìn。
",0,1,0,0,0,2,,,,,,0,,
"後一站吉安，請欲落車的旅客攢好家己的行李，準備落車。
",0,0,0,0,0,3,,,,,,0,,
"本列車的終點站台東咧欲到矣，若欲去台北的旅客，請佇本站盤車。
",0,0,0,0,0,5,,,,,,0,,
"本列車是一空一九車次，經由山線開往高雄的自強號列車，欲往後lâng、苑裡海線的旅客，請佇本站盤車。
",0,0,0,0,0,7,,,,,,0,,
"車欲開囉。猶未上車的旅客請趕緊上車。
",1,0,0,0,0,4,,,,,,0,,
"十點三十三分開往斗六的車佇二A月台咧欲開囉，欲坐這幫車的旅客請緊去二A月台上車。
",1,2,0,0,0,6,,,,,,0,,
"各位旅客，請問siáng有糞埽欲擲無？
",0,0,0,0,0,1,,,,,,0,,
