ku,er,erh,erm,ere,ereh,ir,irh,irp,irt,irk,irm,irn,irng,irinn
"各位旅客你好，這馬咱欲開始驗票矣，請共你的車票提出來，勞力！
",0,0,0,0,0,2,,,,,,0,,
"欲落南的旅客，請佇三B月台等車。
",0,1,0,0,0,4,,,,,,0,,
"欲落南的旅客，請準備佇四B月台上車。
",0,1,0,0,0,5,,,,,,0,,
"想欲上北的人，請佇第一月台等車。
",0,1,0,1,0,3,,,,,,0,,
"欲上北的旅客，請去第三月台上車。
",0,1,0,1,0,2,,,,,,0,,
"你好，我是五二三四車次的車長，有旅客問講敢有人佇竹南站的進站口抾著一張青色的信用卡？多謝。
",0,0,0,0,0,7,,,,,,0,,
"敬祝恁健康快樂，萬事如意，再會。
",0,0,0,0,0,1,,,,,,0,,
"這馬欲入站的是Ta-lú-kuh號，毋是這幫車的旅客毋通上車，才袂予人加罰五十pha的車錢。
",0,0,0,0,0,4,,,,,,0,,
"逐家好，電影咧欲開始搬a。
",0,0,0,0,0,0,,,,,,0,,
"佇搬演進前，請拜託共你的手機仔禁起來。
",0,0,0,0,0,2,,,,,,0,,
"才拜託毋通攝影、錄音，以免違法。
",0,0,0,0,0,0,,,,,,0,,
"出口佇本廳門口的倒手爿，多謝恁惠顧。
",0,0,0,0,0,2,,,,,,0,,
"角花仔佮素花仔，洪錦田。海翁台語文學月刊第一百空八期。
",0,1,0,1,0,1,,,,,,0,,
"角花仔，是一領色水鮮豔的tsa̋u囡仔小洋裝，伊掛佇店頭的玻璃櫥仔內底。
",0,0,0,1,0,2,,,,,,0,,
"這領衫的中逝，紩七粒金色的鈕仔，閃閃爍爍，足唌人目的；下裙繡兩隻白兔仔，足古錐的。
",0,0,0,0,0,0,,,,,,0,,
"按呢的花草，毋知唌倒偌濟愛穿媠的tsa̋u囡仔咧？毋過掛欲規月日，攏無人來交關。
",1,1,0,0,0,0,,,,,,0,,
"有一工，來一个穿插蓋高尚的中年婦人人，牽伊的查某囝對店頭行過。
",1,0,0,0,0,0,,,,,,0,,
"「母仔！你看咧！足媠足古錐的洋裝呢！……人欲挃這軀啦……」，tsa̋u囡仔指對玻璃櫥內底。
",0,0,0,1,0,0,,,,,,0,,
"「好矣啦！莫吵！咱閣來去看猶有較媠的無？」阿母按呢共講。
",0,0,0,0,0,0,,,,,,0,,
"「毋啦！人較佮意這領啦！好心咧啦，阿母……」，tsa̋u囡仔予老母共喝止，煞張張掣掣，那講那吼……
",0,0,0,0,0,0,,,,,,0,,
"「好、好、好啦！阿妙乖──咱就買這軀好啦！莫吼乎，乖──」。
",0,0,0,0,0,0,,,,,,0,,
"老母共囡仔騙恬囉，就按呢角花仔，就成做阿妙上惜的一領洋裝。
",0,0,0,0,0,0,,,,,,0,,
"角花仔hông拍派，帶入去阿妙的衫櫥仔內。衫櫥仔早就狹櫼櫼a，毋過阿妙共huâi舊漚臭的衫仔裙，攏捒一邊，留一大位予角花仔通跔；
",1,0,0,0,1,0,,,,,,0,,
"主人一下共倖，致使角花仔對遮的舊厝邊，誠看無上目。
",0,0,0,0,0,2,,,,,,0,,
"自伊綴阿妙了後，見擺若欲出外的時陣，攏予阿妙穿牢牢，因端是角花仔的款樣，攏予人足呵咾的，一寡tsa̋u囡仔伴會sânn倚來……，毋才會阿妙愈來愈佮意角花仔；
",1,0,0,0,0,0,,,,,,0,,
"Iah角花仔煞變甲足目頭懸，臭煬塊塊，攏袂癮佮huâi舊厝邊相借問。
",0,0,0,0,0,0,,,,,,0,,
"「角花仔，你有影足媠的liòo！阮攏足欣羨、足佮意你liòo……」，運動衫開喙共呵咾。
",0,0,0,0,0,0,,,,,,0,,
"「哎iah！Tsiâ欲愛你佮意咧，你咧媠面！莫傷並倚來őo ……離較開咧較無蠓……」，角花仔那講那徙跤。
",0,0,0,0,0,1,,,,,,0,,
"「角花仔，莫遐孤khu̍t啦！逐家攏是厝邊兜，好朋友呢……」褲裙看袂做得，就共踏話囉……
",0,0,0,0,0,0,,,,,,0,,
"「Tsiâ佮你是好朋友！活欲衰著。佮你這款褲毋成褲，裙毋成裙，像半陰陽的，愈看愈㤉，â ……閃、閃啦！」角花仔講出呸瀾的話。
",0,0,0,0,0,0,,,,,,0,,
"「莫吵好毋！活欲齪死……」，彼爿當咧唔唔睏的拍鐵仔褲大的，忍袂牢、大喝一聲。一時的，聲說攏恬去……；
",0,1,0,0,0,1,,,,,,0,,
"角花仔佇幽靜的衫櫥仔內，恬恬仔ti̋回想：哈、哈、阮阿妙生日彼一工眾人誠共呵咾，講看伊彼款純真，活骨，足歡喜的款曲，蹛塗跤兜連踅幾若輾咧hông看，像一隻蝶仔飛起飛落，人阮的心情嘛綴伊清彩起來……
",4,1,0,0,0,2,,,,,,0,,
"「阿母啊！足媠的呢！感謝你喔！」角花仔佇衫櫥仔內，聽阿妙咧共in母仔說謝……
",0,1,0,0,0,2,,,,,,0,,
"猶毋過毋知為啥代，予阿妙遮歡喜著。目𥍉仔，衫櫥仔hông開開矣，阿妙手裡提一領純白色的洋裝，胸前紩一粒實腹、金爍爍、金雞心型的金片；
",2,0,0,1,0,0,,,,,,0,,
"絲質透明的手䘼，閣釣一隻幼秀的蝶仔結，裙裾閣kún一沿有花草的lueh-sù，看lő樸真閣大方。
",0,0,0,0,0,0,,,,,,0,,
"阿妙出一下力，掰開洗了閣洗的舊衫，共這軀純白色的洋裝，掛佇角花仔的邊仔，喙䫌浮出笑微微的面容，才閣共門關好勢。
",0,0,0,2,0,2,,,,,,0,,
"角花仔一看，用吐地邪眼的表情，掠這个新厝邊金金看……
",0,0,0,1,0,0,,,,,,0,,
"「喂！白衫番啊！你對佗位來的？我一下佮你對目，就感覺足刺鑿著……」，角花仔講著話是一款足臭火、足無細膩的氣口。
",1,0,0,1,0,0,,,,,,0,,
"「喔！歹勢啦！我號做素花仔，初見面……，誠歡喜佮你做厝邊……」，素花仔有禮有教咧共回答。
",1,0,0,1,0,0,,,,,,0,,
"「素花仔！哼！莫傷kheh倚來 ôo，看你規身軀白透龍的，毋知有病抑無咧……？」角花仔直共搖手，閣兼掰手，表示袂癮佮伊握手。
",0,0,0,0,0,0,,,,,,0,,
"「對不住啦！我毋知佗落得失著你乎……？」素花仔誠細膩按呢共應。
",0,0,0,1,0,0,,,,,,0,,
"「嘿！你來到這搭，就是得失著我矣。好矣！莫囉唆、我無想欲佮你答喙鼓……」角花仔講煞，隨越頭做伊摔大眠ā。
",0,0,0,0,0,0,,,,,,0,,
"幾禮拜了後，阿妙的阿舅欲娶某矣，阿妙就揀素花仔來穿，佇落地鏡面頭前，phîn啊phîn、照啊照，那照那笑獅獅。
",0,0,0,1,0,4,,,,,,0,,
"Ua̋！感覺家己足成一个公主咧；猶毋過，這款的情況，予角花仔看著，愈看愈起䆀毛、起㤉目。
",1,0,0,0,0,0,,,,,,0,,
"有一工，佇一个機緣，角花仔佮素花仔同齊佇洗衫機內底，鬥陣洗身軀；
",0,0,0,4,0,4,,,,,,0,,
"角花仔看素花仔，人伊一身軀白sut-sut，予主人阿妙共tshuā出tshuā入，足目空赤的，一時的起妒賢，伊就想一齣奸詭步，欲予素花仔好看。
",0,0,0,0,0,0,,,,,,0,,
"佇洗衫機內底，伊就下性命弄家己的衫佮裙，予色水攏吐吐出來，順著衫槽khut仔tih轉踅的當中，七噴八噴，三𪐞四𪐞，𪐞甲素花仔規身軀全是五彩色的、花巴哩貓。
",0,1,0,2,0,3,,,,,,0,,
"素花仔苦苦共哀求，講伊莫遐無天良；毋通做彼款損命命、遐損蕩人的惡毒步、失德代。
",1,0,0,0,0,0,,,,,,0,,
"伊愈咻喝、角花仔愈刁意故；噴甲素花仔全身無一跡是白的，按呢才露出ka̋ng創贏的奸雄笑……
",0,0,0,0,0,0,,,,,,0,,
"可憐代啊可憐代！素花仔這陣予𪐞甲無成一領衫仔樣，伊那看家己那傷心；現不現，屈佇槽仔內底，叫天、天袂應，叫地、地袂答，煞一直大哭大吼。
",2,0,0,3,0,2,,,,,,0,,
"阿妙共in洗好勢，khuáinn素花仔哪會變甲花巴哩貓，就誠受氣，隨共擲蹛糞埽桶lín。
",0,0,0,1,0,0,,,,,,0,,
"益角花仔看一下暢甲掠袂牢，咧想講：「Ua̋！這聲予我創一下有夠媠氣的，這步用了袂bái，此去阿妙就干焦佮意我一个啦謼！哈、哈、哈……」。
",0,0,0,0,0,0,,,,,,0,,
"阿妙紲落又閣共角花仔搦起來，面仔齊慄色，大叫一聲：「Ha̋nn！今去了了矣，連這領也退色？退甲袂孝孤得……，鮮豔的色水攏無去矣，我挃欲創啥？」講煞，也順紲共伊擲落去糞埽桶裡。
",2,0,0,1,0,0,,,,,,0,,
"角花仔的奸笑聲無去矣，一个面若鳥胘咧，現此時全身攏痠疼，大概吐傷濟的款，皮肉變甲白殕白殕，一絲仔氣力都無，徛袂牢地、軟荍荍䖙佇桶仔內。
",1,0,0,1,0,2,,,,,,0,,
"益素花仔伊nē？人伊腹腸誠有，隨踏倚去共捋胸坎，掠筋路，按呢才沓沓仔得定落來。
",0,0,0,0,0,0,,,,,,0,,
"元氣有ā！喘氣順ā！這當陣，角花仔真反悔對伊下毒手，一直共會失禮、求寬諒，兩个才握手講和。
",1,0,0,0,0,0,,,,,,0,,
"隔轉工下晝，in同齊hông捙到糞埽場裡。下晡時仔，日頭炎熱，臭味滿四界。
",0,0,0,2,0,1,,,,,,0,,
"在場的害物仔，攏是hua̋i癩ko爛癆、生頭發尾、瘸跤破相、歪膏揤斜，看著活欲起雞母皮……
",3,0,0,1,0,0,,,,,,0,,
"蹛這款的所在有夠齷齪，無破病嘛會硬去予臭味激死。
",0,0,0,0,0,1,,,,,,0,,
"佳哉仔佳哉，到甲欲暗仔，有一个收歹銅舊錫的阿姨，看in猶閣媠媠咧，就隨共抾走。
",0,0,0,0,0,1,,,,,,0,,
"這个有疼心的阿姨，閣共in重洗身軀一擺，曝焦了後，提熨斗共熨甲像新的仝款，精差色水有較失。
",0,0,0,1,0,0,,,,,,0,,
"當伊共𪜶提予家己的查某囝的時陣，是歡喜甲那行那蹌跤……，益角花仔佮素花仔，兩个一下相對看，煞規面笑吻吻的花蕊，一蕊一蕊一直浮出來……
",0,0,0,0,0,0,,,,,,0,,
"賣圓仔的神仙，林麗黛譯寫。
",0,0,0,0,0,0,,,,,,0,,
"海翁台語文學月刊第一百空二期
",0,1,0,1,0,1,,,,,,0,,
"佇高雄左營區有一粒山，看起來誠特別。
",0,0,0,0,0,2,,,,,,0,,
"山的倒手爿彼一半和一般的山無啥物各樣，毋過正手爿彼一半，就像予刀仔削過的形，減一大半。
",3,0,0,0,0,0,,,,,,0,,
"這粒山，就親像賰一半的閘屏咧，干焦有才調共半爿的天閘牢咧，所以逐家攏共這粒山號做「半屏山」。
",0,0,0,0,0,0,,,,,,0,,
"半屏山是按怎干焦賰半爿咧？伊另外彼一半是走對佗位去咧？當地有一个故事流傳落來。
",0,0,0,1,0,1,,,,,,0,,
"這个傳說是佮八仙當中的漢鍾離有關係，是漢仙人收徒弟的經過。
",1,1,0,0,0,0,,,,,,0,,
"聽講代誌的經過是按呢，漢鍾離有一个誠巧的徒弟，伊誠gâu寫文章，武功嘛誠厲害。
",2,0,0,0,0,0,,,,,,0,,
"上難得的是，伊一絲仔都袂囂俳，對人誠有禮貌，所以漢鍾離誠疼這个徒弟。
",0,0,0,0,0,0,,,,,,0,,
"毋過誠可惜，這个徒弟致著一種怪病，仙醫都醫袂好，煞七少年八少年就來過身去。
",2,0,0,0,0,0,,,,,,0,,
"漢鍾離看家己上疼的徒弟就按呢離開世間，心肝頭是親像刀咧割咧。
",0,0,0,0,0,0,,,,,,0,,
"過一站仔時間，漢鍾離決定欲轉來人間，欲閣去走揣一个條直善良的好人，欲收伊做徒弟。
",1,0,0,0,0,0,,,,,,0,,
"漢鍾離佇雲尪面頂相來相去，發現人間有某一个島嶼，不止仔美麗。
",0,0,0,0,0,2,,,,,,0,,
"漢鍾離心內咧想講：「竟然有遮爾仔媠的島嶼，山嶺青lìng-lìng，溪水清清清。佇這个好所在，我定著會當揣著一个仔好徒弟。」
",0,0,0,1,0,2,,,,,,0,,
"漢鍾離發現的這个島嶼，就是咱這馬徛起的臺灣島。伊對雲尪面頂寬寬仔跳落來，拄拄仔好降落佇現此時高雄的左營。
",0,0,0,0,0,2,,,,,,0,,
"漢鍾離咧想講：「欲對佗位開始走揣咧？」
",0,0,0,0,0,0,,,,,,0,,
"「若準欲揣一个心肝善良閣老實可靠的徒弟，定著愛先試探看伊的心肝好無？」伊心內那拍算那咧相四箍圍仔的環境。
",0,0,0,0,0,1,,,,,,0,,
"漢鍾離擔頭共面頭前彼粒山看看、相相咧，隨予伊想著一个好步數。
",0,0,0,0,0,0,,,,,,0,,
"漢鍾離共伊隨身紮的一支葵扇提出來，略略仔共彼粒山擛擛咧，山頂尾溜隨雄雄起一陣風，風真透。
",1,0,0,0,0,0,,,,,,0,,
"大風一下過，山正手爿的塗就規片崩落來。
",1,0,0,0,0,0,,,,,,0,,
"本成好勢好勢的彼粒山，這馬看起來就親像予刀仔削去一大塊的形。
",0,0,0,0,0,0,,,,,,0,,
"漢鍾離閣用葵扇共崩落來的彼堆塗擛擛咧，彼堆塗竟然變成一粒仔一粒的圓仔。
",0,0,0,0,0,0,,,,,,0,,
"紲落來，漢鍾離共家己打扮做賣圓仔的老歲仔，共擔仔擔咧，佇山邊開始賣圓仔。
",1,0,0,0,0,2,,,,,,0,,
"「來喔！好食的圓仔喔！麻仔芳絳絳、紅豆仔甜粅粅，緊來買好食的圓仔喔！」漢鍾離大聲咧喝賣。
",0,0,0,0,0,0,,,,,,0,,
"「芳閣大粒的圓仔喔！一粒一角銀，兩粒兩角銀，三粒食免錢喔！」喝賣聲吸引一寡行路人的注意。
",0,0,0,0,0,0,,,,,,0,,
"「呔會有遮爾仔好空的代誌？誠實是愛講耍笑！」
",1,0,0,0,0,0,,,,,,0,,
"「著ā！呔會有可能食免錢啦！」
",0,0,0,0,0,0,,,,,,0,,
"「這个老歲仔呔會遮爾戇啦？」
",1,0,0,0,0,0,,,,,,0,,
"「無的確伊起痟矣！」
",0,0,0,0,0,0,,,,,,0,,
"「Ê？呔會從來毋捌看過這个老歲仔？」
",2,0,0,0,0,0,,,,,,0,,
"「圓仔應該無問題乎？」
",0,0,0,1,0,0,,,,,,0,,
"圍倚來看的人愈來愈濟，逐家互相討論這件代誌，毋過無半个人相信漢鍾離講的話，嘛無人開喙講欲買圓仔。
",2,0,0,0,0,0,,,,,,0,,
"平常時仔就較痟貪的大頭仔王的，伊共漢鍾離講：「頭家，你賣的圓仔敢誠實食三粒就免錢？你敢會唬阮？」
",0,0,0,0,0,0,,,,,,0,,
"漢鍾離共應講：「我這个人啊！上討厭別人無老實囉！所以嘛袂愛騙人。閣再講做生理呔會使無守信用咧？」
",0,0,0,0,0,0,,,,,,0,,
"大頭仔王的心內咧想講，這个老歲仔無悾抑無戇，講話的形嘛無像咧滾耍笑，就共講：「頭家！予我三粒圓仔食看覓咧！」
",1,0,0,0,0,0,,,,,,0,,
"漢鍾離的圓仔親像雞卵遐爾大圈，大頭仔王的搩兩粒落去，腹肚已經有小可仔飽矣。
",0,0,0,1,0,0,,,,,,0,,
"伊共腹肚挲挲咧，閣繼續食甲窸窣叫，
",0,0,0,0,0,0,,,,,,0,,
"伊共第三粒圓仔嘛食食落去，那食閣那呵咾講：「Uah！我自出世到今毋捌食過遮爾芳的圓仔呢！」
",1,0,0,1,0,0,,,,,,0,,
"大頭仔王的食三粒圓仔，漢鍾離誠實無共伊提半仙錢。
",0,0,0,0,0,0,,,,,,0,,
"其他的人攏看甲誠欣羨，嘛圍倚來共漢鍾離挃三粒圓仔食。
",0,0,0,0,0,0,,,,,,0,,
"逐家為著欲食免錢的圓仔，毋管查埔、查某，攏想盡辦法共三粒大粒圓仔食落去。
",0,0,0,0,0,0,,,,,,0,,
"漢鍾離一直無停手咧舀圓仔予眾人食，目𥍉仔久niâ，規鼎圓仔就食甲空空囉！
",0,0,0,0,0,0,,,,,,0,,
"「好矣，圓仔已經食了矣，今仔日就到遮為止囉！」漢鍾離按呢共逐家講。
",0,0,0,0,0,0,,,,,,0,,
"「彼呔會使？我猶袂食著呢！」有人無歡喜咧大聲喝。
",0,0,0,0,0,0,,,,,,0,,
"「猶未食夠氣呢！」閣有人按呢講。
",1,0,0,0,0,0,,,,,,0,,
"「恁誠實誠gâu食呢！我烰的圓仔攏總提出來賣ā，無食著的人明仔載才閣來囉！」漢鍾離有淡薄仔袂堪得煩。
",0,0,0,0,0,0,,,,,,0,,
"「按呢明仔載敢仝款是一粒一角銀，兩粒兩角銀，三粒食免錢咧？」有人按呢問。
",0,0,0,0,0,0,,,,,,0,,
"「著ā！食三粒免錢啦！」漢鍾離按呢共伊應。
",0,0,0,0,0,0,,,,,,0,,
"「足好的！閣有免錢的圓仔通食囉！頭家，你毋通講話無準算őo！明仔載一定愛來ōo！」逐家一聽漢鍾離答應矣，攏歡歡喜喜走囉！
",0,0,0,0,0,0,,,,,,0,,
"「唉！這一寡人有影痟貪，實在予我足失望！按呢看起來，明仔載愛攢閣較濟的圓仔，才有機會揣著我未來的徒弟。」漢鍾離那講那吐大氣。
",1,0,0,0,0,0,,,,,,0,,
"隔轉工，漢鍾離共一大擔的圓仔，閣擔去昨昏賣圓仔的所在。逐家一下看著漢鍾離，攏挨挨𤲍𤲍、趕緊緊圍倚來。
",0,0,0,2,0,0,,,,,,0,,
"「喂！頭家，我欲愛三粒！」
",0,0,0,0,0,0,,,,,,0,,
"「我嘛仝款！」
",0,0,0,0,0,0,,,,,,0,,
"「輪著我囉！三粒！較緊咧！」
",0,0,0,0,0,0,,,,,,0,,
"雖然免開錢就會當食著芳閣甜的圓仔，毋過逐家干焦顧搶niâ，根本攏袂記得愛共漢鍾離說多謝。
",1,1,0,0,0,0,,,,,,0,,
"彼一寡人就親像枵幾若工的形，下性命搶欲食圓仔。有一个大食的人，食三粒，閣挃三粒，做一睏仔搩六粒圓仔。
",0,0,0,0,0,0,,,,,,0,,
"逐家看有人食六粒，攏恐kia̋nn家己食輸人，嘛攏叫六粒來食。
",0,0,0,0,0,0,,,,,,0,,
"食會落的下性命吞，食袂落的偷偷仔共圓仔藏佇袋仔， 拍算欲紮轉去厝裡才閣食。過無偌久，一鼎圓仔閣食甲空空空a。
",2,0,0,0,0,2,,,,,,0,,
"食會落的下性命吞，食袂落的偷偷仔共圓仔藏咧袋仔， 拍算欲紮轉去厝裡才閣食。過無偌久，一鼎圓仔閣食甲空空空a。
",2,0,0,0,0,0,,,,,,0,,
"漢鍾離共彼一寡人講：「我煮的圓仔敢誠實遐好食是無？恁知影材料是對佗位來的無？」
",0,0,0,0,0,1,,,,,,0,,
"「著ā！你到底是用啥物材料，才會當做甲遮爾仔好食咧？緊共阮講ā！」
",0,0,0,1,0,0,,,,,,0,,
"「是ā！你的圓仔佮別人的攏無仝款，到底是摻啥物配料咧？」
",1,0,0,1,0,0,,,,,,0,,
"逐家雖然攏誠好玄，毋過漢鍾離干焦共頭幌幌咧講：「恁後擺自然會知影。」
",1,0,0,0,0,0,,,,,,0,,
"逐家問無答案，嘛無閣繼續追問落去，嘛仝款大喙仔大喙咧食家己碗內的圓仔。
",0,0,0,0,0,0,,,,,,0,,
"「喂！恁看！後壁彼粒山看起來怪怪呢！」大頭仔王的按呢共朋友講。
",0,0,0,0,0,0,,,,,,0,,
"「是你目睭花a啦！我看無啥各樣ā！」朋友按呢共應。
",0,0,0,0,0,0,,,,,,0,,
"「王的講咧無毋著，彼粒山的正手爿敢若減一大片呢！」另外一个人聽著in的對話，感覺大頭王的講咧誠有道理。
",0,0,0,0,0,0,,,,,,0,,
"「哎iah！管遐濟創啥？抑是緊探聽一下，看賣圓仔的老歲仔明仔載敢欲閣來？」大頭仔王的的朋友按呢講。
",1,0,0,0,0,0,,,,,,0,,
"漢鍾離聽著in的對話，心內想講：「抑是有人注意著彼粒山a，我掠準講這陣人干焦知影通食niâ咧！」
",0,0,0,0,0,0,,,,,,0,,
"「頭家，明仔載你閣會來乎？」有人袂忍咧，按呢咧問漢鍾離。
",0,0,0,0,0,0,,,,,,0,,
"「Há哈哈！恁遐爾愛食，我當然會閣來lōo！」漢鍾離笑甲誠無自然。
",0,0,0,0,0,0,,,,,,0,,
"日子一工一工過，漢鍾離佇邊仔恬恬咧觀察每一个來食圓仔的人。
",1,0,0,0,0,3,,,,,,0,,
"來食圓仔的人，是一工比一工閣較濟，毋過逐个人攏干焦想欲食免錢的圓仔，無人願意納錢，予漢鍾離誠失望。
",1,0,0,0,0,0,,,,,,0,,
"漢鍾離心內咧想講：「可惜啊！可惜！遮爾仔媠的土地，呔會攏蹛一寡痟貪的人。」
",0,0,0,1,0,0,,,,,,0,,
"「看這个範勢，欲揣一个人品好的徒弟，是一件無簡單的代誌呢！」
",1,0,0,0,0,0,,,,,,0,,
"就佇漢鍾離開始賣圓仔的第七工，代誌終其尾無仝囉！
",2,0,0,1,0,2,,,,,,0,,
"這一工，來一个生做斯文斯文的少年家，伊行來漢鍾離的面頭前講：「頭家，麻煩你，我欲買兩粒圓仔。」
",0,0,0,0,0,0,,,,,,0,,
"漢鍾離斟酌共少年家看看咧，共講：「少年的，你知影無？我的圓仔食三粒免錢呢！」
",0,0,0,0,0,0,,,,,,0,,
"少年家應講：「我知影ā！毋過你挲圓仔愛了時間，擔擔仔來賣愛了氣力，我開兩角銀就會當買著遮爾大粒的圓仔，已經真俗矣。」
",1,0,0,0,0,0,,,,,,0,,
"邊仔一个婦人人聽少年家按呢講，緊共搝少年家的衫仔裾，細細聲共偷講：「你呔會遐爾戇啦！食會落三粒，就食三粒ā！呔著開錢買咧？」
",0,0,0,2,0,0,,,,,,0,,
"少年家講：「感謝你的好意，我仝款願意開錢買圓仔。」
",0,0,0,0,0,0,,,,,,0,,
"邊仔彼一寡人聽著少年家按呢講，攏笑甲hī-hā叫。講：「這个人頭殼定著有問題！」
",0,0,0,1,0,0,,,,,,0,,
"逐家共少年家指指揬揬，攏講伊錢傷冗剩，人傷戇。
",0,0,0,0,0,0,,,,,,0,,
"漢鍾離感覺這个少年家雖然穿甲普通普通，毋過講話誠有禮貌，看起來是受過好教育的款，閣較難得的是，伊一絲仔都袂痟貪，閣足有同情心。
",2,0,0,0,0,0,,,,,,0,,
"「少年人，你是真罕得看著的好人，你敢願意做我的徒弟？」漢鍾離按呢問少年家。
",0,0,0,0,0,0,,,,,,0,,
"少年家一時聽無漢鍾離的意思，共問講：「伯仔，你欲揣人學做圓仔，是無？實在真失禮，我感覺我家己無啥適合，你會當閣問別人看覓咧。」
",0,0,0,0,0,2,,,,,,0,,
"漢鍾離隨翻身一變，變轉去伊本成的模樣。伊共少年家講：「我是八仙當中的漢鍾離，專工對天頂下凡來走揣徒弟的。」
",0,0,0,0,0,0,,,,,,0,,
"少年家聽一下掣一趒，講：「當時仔你是神仙！阮真正是『目睭擘無金』。毋過，佇遮爾濟人當中，你是按怎會選著我咧？」
",1,0,0,0,0,2,,,,,,0,,
"漢鍾離微微仔笑咧，講：「我佇遮聽候足濟工a啦！發覺愛偏人佮痟貪的人，實在有夠濟！干焦你心肝善良，袂受別人影響，所以我決定選你做我的徒弟。」
",0,0,0,0,0,2,,,,,,0,,
"邊仔的人知影漢鍾離是神仙了後，攏隨个仔隨个跪落來，講：「神仙啊！阮實在不應該遐爾貪心，拜託你原諒阮啦！」
",0,0,0,0,0,0,,,,,,0,,
"「是啦！阮知影毋著矣啦！」
",0,0,0,0,0,0,,,,,,0,,
"「哈！哈！哈！恁免求我饒恕，恁看後壁彼粒山ā！恁逐家食的圓仔，攏是我用山頂的塗變的。」漢鍾離按呢講。
",0,0,0,0,0,0,,,,,,0,,
"眾人聽漢鍾離按呢講，攏趕緊擔頭看山頂，一下看逐家心內攏暗喝一聲：「我苦啊！」山的正手爿有影減一半去矣。
",0,0,0,0,0,0,,,,,,0,,
"「我早就講過矣，你就毋信。」大頭仔王的按呢咧唸朋友。
",1,0,0,0,0,0,,,,,,0,,
"「我這馬看出來矣，這干焦神仙才有才調共山削甲遐爾仔平啊！」大頭仔王的朋友按呢講。
",0,0,0,0,0,0,,,,,,0,,
"「這馬知影已經傷慢ā，塗圓仔攏佇恁的腹肚內囉！」漢鍾離按呢共逐家講。
",0,0,0,0,0,2,,,,,,0,,
"逐家你看我、我看你，隨个仔隨个共當咧幽幽仔疼的腹肚𢯾咧，共喙擘甲開開開，想欲共塗圓仔吐倒出來。
",0,0,0,0,0,0,,,,,,0,,
"毋過閣較按怎吐嘛吐袂出來，干焦會當真後悔咧講：「阮實在不應該遐爾貪心！」
",1,0,0,0,0,0,,,,,,0,,
"漢鍾離越過去共少年家講：「考慮了按怎？敢願意做我的徒弟？」
",1,0,0,0,0,0,,,,,,0,,
"少年家共應講：「先予我和阮爸母參詳一下啦！」
",1,0,0,0,0,0,,,,,,0,,
"少年家得著爸母的同意了後，就歡歡喜喜綴漢鍾離去仙界學本領囉！
",1,0,0,1,0,0,,,,,,0,,
"話頭，作者共讀者諸君報告
",0,0,0,0,0,0,,,,,,0,,
"若以早我真厚話，愛我起攔頭，寫幾頁仔無問題，毋過十冬都過矣，欲愛我共第二本冊起一下仔譴，我有影毋知欲寫啥，下跤簡單交代一下就好。
",3,0,0,2,0,0,,,,,,0,,
"這八篇故事，我毋知欲按怎排前後，所以就照時間，對最近寫的排去甲上進前，
",0,0,0,0,0,1,,,,,,1,,
"上尾彼篇〈煞戲〉的頭前一半，是二空空八年寫的，拄拄是《倒轉》出版彼一冬，
",1,0,0,0,0,0,,,,,,0,,
"對遮通知這擺收入來的，就是我這十冬踮小說這个文類攏總的成果（假使我無落勾來講）。
",1,1,0,0,0,2,,,,,,0,,
"十冬才寫按呢，當然我會當會講都真濟時間開佇讀冊、寫論文、寫台語教材，無共創作當做上要緊的目標。
",0,0,0,0,0,3,,,,,,0,,
